dirname,total_count,diff_count,file_size
alt.atheism,202,160,1511
alt.atheism,89,75,749
alt.atheism,136,107,1146
alt.atheism,449,257,2755
alt.atheism,183,139,1384
alt.atheism,613,365,3776
alt.atheism,219,158,1668
alt.atheism,369,235,2405
alt.atheism,122,108,1181
alt.atheism,267,199,1989
alt.atheism,405,274,2852
alt.atheism,761,385,5009
alt.atheism,263,177,2107
alt.atheism,1075,533,6884
alt.atheism,148,119,1495
alt.atheism,334,213,2393
alt.atheism,169,127,1417
alt.atheism,101,91,903
alt.atheism,462,303,3142
alt.atheism,165,130,1290
alt.atheism,206,161,1640
alt.atheism,93,83,889
alt.atheism,122,95,1077
alt.atheism,235,184,1754
alt.atheism,170,148,1509
alt.atheism,1485,658,8710
alt.atheism,145,119,1368
alt.atheism,499,286,3271
alt.atheism,202,168,1587
alt.atheism,303,204,2189
alt.atheism,340,177,2310
alt.atheism,304,201,2273
alt.atheism,727,419,4632
alt.atheism,454,260,3180
alt.atheism,385,235,2752
alt.atheism,372,250,2826
alt.atheism,1087,561,6897
alt.atheism,226,172,1599
alt.atheism,341,241,2206
alt.atheism,1747,729,10560
alt.atheism,230,167,1888
alt.atheism,258,182,1692
alt.atheism,747,425,4694
alt.atheism,1166,501,6800
alt.atheism,186,151,1575
alt.atheism,148,112,1186
alt.atheism,195,143,1462
alt.atheism,163,131,1336
alt.atheism,141,122,1196
alt.atheism,132,114,1085
alt.atheism,204,171,1665
alt.atheism,648,366,4166
alt.atheism,79,74,866
alt.atheism,981,451,6105
alt.atheism,1710,779,10513
alt.atheism,355,245,2609
alt.atheism,4756,1790,30482
alt.atheism,4238,1454,26143
alt.atheism,787,476,6334
alt.atheism,141,116,1049
alt.atheism,166,124,1196
alt.atheism,126,113,1267
alt.atheism,790,428,4852
alt.atheism,309,210,2521
alt.atheism,188,144,1638
alt.atheism,117,105,1303
alt.atheism,184,149,1489
alt.atheism,177,145,1621
alt.atheism,266,187,2045
alt.atheism,92,83,829
alt.atheism,1658,747,9727
alt.atheism,425,269,2804
alt.atheism,173,130,1257
alt.atheism,106,94,989
alt.atheism,116,106,1030
alt.atheism,366,262,2605
alt.atheism,264,198,1897
alt.atheism,345,225,2276
alt.atheism,153,120,1532
alt.atheism,360,254,2459
alt.atheism,481,297,3422
alt.atheism,221,167,2012
alt.atheism,71,62,785
alt.atheism,439,285,3215
alt.atheism,227,172,1933
alt.atheism,202,159,1610
alt.atheism,139,112,1310
alt.atheism,204,171,1654
alt.atheism,338,222,2522
alt.atheism,399,244,2482
alt.atheism,199,138,1553
alt.atheism,53,51,686
alt.atheism,248,175,1975
alt.atheism,248,163,1771
alt.atheism,678,403,4190
alt.atheism,402,258,3140
alt.atheism,207,148,1726
alt.atheism,168,148,1463
alt.atheism,183,146,1517
alt.atheism,191,153,1464
alt.atheism,145,123,1342
alt.atheism,214,160,1535
alt.atheism,214,171,1743
alt.atheism,193,145,1472
alt.atheism,293,190,2258
alt.atheism,250,173,1933
alt.atheism,142,118,1363
alt.atheism,163,142,1534
alt.atheism,327,210,2291
alt.atheism,160,135,1426
alt.atheism,338,199,2446
alt.atheism,243,167,1875
alt.atheism,141,113,1147
alt.atheism,240,171,1818
alt.atheism,378,241,2733
alt.atheism,117,101,1084
alt.atheism,425,275,2785
alt.atheism,442,312,2984
alt.atheism,260,169,2095
alt.atheism,122,108,1354
alt.atheism,211,155,1764
alt.atheism,254,169,1925
alt.atheism,471,272,3337
alt.atheism,221,188,2058
alt.atheism,735,367,4680
alt.atheism,346,230,2288
alt.atheism,411,243,2930
alt.atheism,192,146,1748
alt.atheism,585,369,3775
alt.atheism,297,190,2178
alt.atheism,209,147,1628
alt.atheism,146,116,1173
alt.atheism,187,140,1477
alt.atheism,243,176,2312
alt.atheism,148,131,1279
alt.atheism,269,194,2062
alt.atheism,156,135,1380
alt.atheism,86,81,965
alt.atheism,237,148,1645
alt.atheism,342,232,2471
alt.atheism,785,428,4623
alt.atheism,807,441,5324
alt.atheism,408,285,2924
alt.atheism,199,166,1736
alt.atheism,506,286,3440
alt.atheism,371,250,2555
alt.atheism,82,76,945
alt.atheism,133,113,1369
alt.atheism,123,107,1151
alt.atheism,180,140,1427
alt.atheism,112,105,1297
alt.atheism,182,148,1633
alt.atheism,361,247,2797
alt.atheism,174,148,1602
alt.atheism,298,222,2462
alt.atheism,205,157,1715
alt.atheism,503,292,3324
alt.atheism,292,210,2330
alt.atheism,214,156,1571
alt.atheism,223,160,2157
alt.atheism,447,262,3321
alt.atheism,236,148,1573
alt.atheism,382,258,2284
alt.atheism,128,107,1141
alt.atheism,345,226,2186
alt.atheism,592,341,3922
alt.atheism,288,213,1865
alt.atheism,320,214,2232
alt.atheism,395,241,2507
alt.atheism,200,161,1429
alt.atheism,112,101,959
alt.atheism,76,74,780
alt.atheism,203,156,1550
alt.atheism,702,392,4706
alt.atheism,231,174,2010
alt.atheism,437,292,3209
alt.atheism,137,104,1244
alt.atheism,205,154,1668
alt.atheism,232,172,1789
alt.atheism,127,112,1157
alt.atheism,225,156,1640
alt.atheism,326,210,2397
alt.atheism,390,258,2781
alt.atheism,276,189,1998
alt.atheism,373,252,2569
alt.atheism,564,337,3749
alt.atheism,222,161,1697
alt.atheism,224,170,1936
alt.atheism,306,203,2279
alt.atheism,447,280,3117
alt.atheism,555,353,3512
alt.atheism,116,99,1243
alt.atheism,382,195,2426
alt.atheism,199,161,1811
alt.atheism,234,172,1777
alt.atheism,341,209,2419
alt.atheism,322,204,2315
alt.atheism,238,164,1880
alt.atheism,125,115,1207
alt.atheism,373,233,2564
alt.atheism,280,185,2127
alt.atheism,454,303,2860
alt.atheism,188,155,1332
alt.atheism,256,182,2080
alt.atheism,89,82,1052
alt.atheism,240,179,1701
alt.atheism,115,103,1124
alt.atheism,235,171,1704
alt.atheism,239,173,1966
alt.atheism,319,212,2549
alt.atheism,185,140,1455
alt.atheism,451,294,3111
alt.atheism,630,366,4092
alt.atheism,200,148,1629
alt.atheism,249,187,1918
alt.atheism,493,266,3241
alt.atheism,244,184,1895
alt.atheism,422,261,2611
alt.atheism,347,231,2322
alt.atheism,172,138,1492
alt.atheism,149,126,1358
alt.atheism,407,269,2871
alt.atheism,174,137,1554
alt.atheism,185,136,1346
alt.atheism,111,103,1219
alt.atheism,186,142,1607
alt.atheism,360,203,2647
alt.atheism,369,242,2475
alt.atheism,631,326,4074
alt.atheism,112,100,1100
alt.atheism,151,135,1335
alt.atheism,115,106,1266
alt.atheism,84,78,998
alt.atheism,121,107,1214
alt.atheism,144,118,1322
alt.atheism,108,94,1080
alt.atheism,207,155,1814
alt.atheism,795,418,5544
alt.atheism,242,186,1974
alt.atheism,381,237,2801
alt.atheism,446,278,3078
alt.atheism,286,195,2176
alt.atheism,156,121,2639
alt.atheism,161,126,2887
alt.atheism,216,162,1740
alt.atheism,242,172,2115
alt.atheism,343,214,2597
alt.atheism,221,174,1662
alt.atheism,327,214,2467
alt.atheism,178,143,1647
alt.atheism,282,198,2259
alt.atheism,442,279,3333
alt.atheism,190,154,1702
alt.atheism,224,170,1846
alt.atheism,312,196,2321
alt.atheism,225,177,2010
alt.atheism,205,163,1915
alt.atheism,657,365,4635
alt.atheism,136,108,1375
alt.atheism,144,129,1418
alt.atheism,225,170,1427
alt.atheism,690,408,4345
alt.atheism,147,117,1161
alt.atheism,319,211,2469
alt.atheism,385,245,2620
alt.atheism,244,166,1706
alt.atheism,512,304,7731
alt.atheism,298,212,2552
alt.atheism,126,109,1205
alt.atheism,347,228,2256
alt.atheism,745,400,4602
alt.atheism,626,388,3923
alt.atheism,217,173,1870
alt.atheism,305,227,2439
alt.atheism,421,278,2938
alt.atheism,549,357,3772
alt.atheism,371,232,2710
alt.atheism,203,157,1728
alt.atheism,182,140,1680
alt.atheism,375,239,2458
alt.atheism,92,86,1018
alt.atheism,87,82,999
alt.atheism,108,100,1278
alt.atheism,268,210,2109
alt.atheism,428,266,2865
alt.atheism,348,242,2358
alt.atheism,155,123,1254
alt.atheism,585,355,3666
alt.atheism,144,120,1232
alt.atheism,55,51,691
alt.atheism,549,341,3643
alt.atheism,585,347,4100
alt.atheism,423,262,3134
alt.atheism,172,141,1245
alt.atheism,272,199,1914
alt.atheism,362,257,2679
alt.atheism,1810,845,10949
alt.atheism,683,381,4701
alt.atheism,233,182,1820
alt.atheism,160,120,1398
alt.atheism,153,126,1407
alt.atheism,173,136,1304
alt.atheism,938,493,5875
alt.atheism,220,173,1915
alt.atheism,499,307,3439
alt.atheism,215,170,1887
alt.atheism,249,198,1877
alt.atheism,169,136,1452
alt.atheism,204,161,1647
alt.atheism,230,192,1814
alt.atheism,245,191,1918
alt.atheism,105,96,1123
alt.atheism,121,109,1061
alt.atheism,159,130,1306
alt.atheism,216,169,1906
alt.atheism,179,152,1616
alt.atheism,252,200,2008
alt.atheism,326,210,2806
alt.atheism,106,89,897
alt.atheism,179,138,1574
alt.atheism,236,170,1734
alt.atheism,143,122,1331
alt.atheism,397,244,2822
alt.atheism,205,151,1509
alt.atheism,527,316,3585
alt.atheism,75,71,1019
alt.atheism,442,272,2797
alt.atheism,2732,1106,15910
alt.atheism,886,485,5763
alt.atheism,646,416,4310
alt.atheism,310,216,2212
alt.atheism,361,235,2483
alt.atheism,799,436,5043
alt.atheism,193,131,1375
alt.atheism,209,154,1871
alt.atheism,206,169,1558
alt.atheism,727,400,4210
alt.atheism,319,217,2232
alt.atheism,152,131,1323
alt.atheism,59,57,615
alt.atheism,105,94,1133
alt.atheism,159,132,1434
alt.atheism,237,189,1736
alt.atheism,113,90,1154
alt.atheism,935,465,6074
alt.atheism,238,168,2096
alt.atheism,323,210,2244
alt.atheism,417,253,2705
alt.atheism,217,155,1541
alt.atheism,276,209,2106
alt.atheism,313,213,2223
alt.atheism,114,95,1265
alt.atheism,628,374,4465
alt.atheism,571,353,3872
alt.atheism,300,205,2362
alt.atheism,1050,541,6161
alt.atheism,356,228,2633
alt.atheism,150,135,1330
alt.atheism,184,141,1519
alt.atheism,501,312,3299
alt.atheism,96,87,917
alt.atheism,121,100,1054
alt.atheism,232,178,1748
alt.atheism,155,132,1300
alt.atheism,93,81,1188
alt.atheism,160,145,1362
alt.atheism,137,117,1172
alt.atheism,91,84,861
alt.atheism,405,263,2977
alt.atheism,187,135,1673
alt.atheism,220,175,1926
alt.atheism,243,184,2456
alt.atheism,279,197,2559
alt.atheism,420,263,3444
alt.atheism,122,111,1087
alt.atheism,105,88,944
alt.atheism,633,371,4359
alt.atheism,1000,532,6010
alt.atheism,312,227,2268
alt.atheism,186,154,1589
alt.atheism,128,113,1328
alt.atheism,104,93,952
alt.atheism,317,195,2190
alt.atheism,74,72,833
alt.atheism,56,54,569
alt.atheism,171,141,1518
alt.atheism,392,250,2573
alt.atheism,279,193,1944
alt.atheism,255,204,2330
alt.atheism,197,161,1891
alt.atheism,190,158,1887
alt.atheism,222,171,2103
alt.atheism,274,194,2151
alt.atheism,125,108,1179
alt.atheism,80,72,807
alt.atheism,102,88,1070
alt.atheism,170,141,1566
alt.atheism,259,193,2001
alt.atheism,509,340,3453
alt.atheism,1157,572,7282
alt.atheism,588,331,4495
alt.atheism,446,284,3303
alt.atheism,663,382,4542
alt.atheism,119,115,1221
alt.atheism,136,110,1183
alt.atheism,79,65,1012
alt.atheism,310,207,2361
alt.atheism,176,139,1412
alt.atheism,758,422,4962
alt.atheism,477,301,3276
alt.atheism,168,138,1447
alt.atheism,788,495,5821
alt.atheism,499,264,3289
alt.atheism,138,113,1397
alt.atheism,633,388,3890
alt.atheism,243,175,1932
alt.atheism,193,130,1496
alt.atheism,149,118,1333
alt.atheism,253,175,2005
alt.atheism,235,165,1899
alt.atheism,200,141,1858
alt.atheism,170,116,1487
alt.atheism,297,199,2137
alt.atheism,133,110,1316
alt.atheism,492,274,3229
alt.atheism,208,167,1555
alt.atheism,274,188,2090
alt.atheism,299,189,2055
alt.atheism,381,233,2425
alt.atheism,277,199,2003
alt.atheism,223,151,1878
alt.atheism,132,107,1273
alt.atheism,216,132,1685
alt.atheism,767,419,5054
alt.atheism,538,324,3585
alt.atheism,418,281,2818
alt.atheism,65,63,766
alt.atheism,190,160,1612
alt.atheism,315,195,2229
alt.atheism,282,181,2009
alt.atheism,128,108,1103
alt.atheism,149,129,1295
alt.atheism,144,120,1245
alt.atheism,268,181,1843
alt.atheism,243,188,1760
alt.atheism,73,71,780
alt.atheism,144,119,1253
alt.atheism,265,196,2053
alt.atheism,804,451,5413
alt.atheism,231,187,1736
alt.atheism,131,103,1341
alt.atheism,203,154,1635
alt.atheism,186,141,1512
alt.atheism,208,172,1740
alt.atheism,352,194,2566
alt.atheism,755,368,4620
alt.atheism,334,200,2473
alt.atheism,366,234,2617
alt.atheism,172,133,1358
alt.atheism,182,147,1546
alt.atheism,511,314,3629
alt.atheism,763,467,5098
alt.atheism,147,118,1269
alt.atheism,416,272,3090
alt.atheism,229,169,1872
alt.atheism,350,233,2715
alt.atheism,111,97,1034
alt.atheism,156,129,1345
alt.atheism,95,82,983
alt.atheism,172,141,1473
alt.atheism,242,187,1997
alt.atheism,189,142,1524
alt.atheism,263,194,1974
alt.atheism,902,488,5730
alt.atheism,459,250,3280
alt.atheism,188,143,1668
alt.atheism,244,180,1915
alt.atheism,217,163,1656
alt.atheism,256,173,1943
alt.atheism,138,117,1313
alt.atheism,188,146,1589
alt.atheism,348,248,2302
alt.atheism,119,107,1075
alt.atheism,263,160,2049
alt.atheism,220,160,1968
alt.atheism,834,434,5267
alt.atheism,382,240,2857
alt.atheism,141,116,1322
alt.atheism,787,449,5331
alt.atheism,438,265,3264
alt.atheism,182,141,1604
alt.atheism,655,377,4225
alt.atheism,313,218,2442
alt.atheism,554,367,3813
alt.atheism,204,153,1828
alt.atheism,413,252,2984
alt.atheism,274,179,2063
alt.atheism,276,204,1947
alt.atheism,830,487,5703
alt.atheism,310,172,2248
alt.atheism,454,287,3144
alt.atheism,2176,785,13107
alt.atheism,181,147,1448
alt.atheism,1676,826,10224
alt.atheism,241,181,1822
alt.atheism,789,472,5135
alt.atheism,328,232,2262
alt.atheism,191,144,1552
alt.atheism,334,231,2644
alt.atheism,673,413,4505
alt.atheism,94,82,783
alt.atheism,159,131,1404
alt.atheism,269,210,2461
alt.atheism,284,201,1911
alt.atheism,134,122,1246
alt.atheism,303,218,2392
alt.atheism,132,115,1266
alt.atheism,181,158,1695
alt.atheism,341,228,2556
alt.atheism,312,205,2292
alt.atheism,225,171,2240
alt.atheism,295,200,2717
alt.atheism,366,235,2742
alt.atheism,8660,2658,51425
alt.atheism,185,136,1487
alt.atheism,1105,569,6431
alt.atheism,144,125,1377
alt.atheism,463,301,3176
alt.atheism,64,60,657
alt.atheism,219,155,1686
alt.atheism,82,66,1131
alt.atheism,468,297,3048
alt.atheism,428,246,2770
alt.atheism,47,40,492
alt.atheism,128,115,1331
alt.atheism,210,161,1576
alt.atheism,245,177,1773
alt.atheism,202,147,1739
alt.atheism,72,66,702
alt.atheism,130,98,960
alt.atheism,165,133,1362
alt.atheism,288,200,2513
alt.atheism,994,504,6012
alt.atheism,271,181,2215
alt.atheism,455,268,3274
alt.atheism,307,223,2044
alt.atheism,375,247,2744
alt.atheism,271,195,2146
alt.atheism,311,216,2198
alt.atheism,273,167,2215
alt.atheism,81,72,688
alt.atheism,103,96,914
alt.atheism,342,244,2520
alt.atheism,212,165,1632
alt.atheism,352,231,2305
alt.atheism,287,188,1817
alt.atheism,193,142,1402
alt.atheism,178,134,1260
alt.atheism,149,122,1147
alt.atheism,567,355,3594
alt.atheism,450,294,2928
alt.atheism,1306,808,8528
alt.atheism,149,129,1267
alt.atheism,527,328,3605
alt.atheism,270,193,2101
alt.atheism,221,169,1890
alt.atheism,891,443,5516
alt.atheism,3379,1127,19619
alt.atheism,142,123,1387
alt.atheism,195,159,1766
alt.atheism,349,199,2764
alt.atheism,414,265,2786
alt.atheism,187,147,1836
alt.atheism,126,102,1177
alt.atheism,173,129,1352
alt.atheism,197,139,1484
alt.atheism,130,112,1321
alt.atheism,192,138,1576
alt.atheism,109,94,951
alt.atheism,132,104,1274
alt.atheism,240,180,1997
alt.atheism,601,335,3933
alt.atheism,187,154,1529
alt.atheism,243,171,2058
alt.atheism,220,131,1593
alt.atheism,148,118,1362
alt.atheism,212,112,1601
alt.atheism,782,382,5263
alt.atheism,293,201,2332
alt.atheism,403,270,2877
alt.atheism,180,129,1564
alt.atheism,170,134,1346
alt.atheism,231,164,1717
alt.atheism,594,357,4031
alt.atheism,298,201,2197
alt.atheism,68,64,780
alt.atheism,394,263,3088
alt.atheism,923,489,5992
alt.atheism,192,153,1628
alt.atheism,456,300,3054
alt.atheism,264,186,1924
alt.atheism,374,252,2696
alt.atheism,1283,625,7586
alt.atheism,336,222,2231
alt.atheism,174,134,1427
alt.atheism,201,140,1543
alt.atheism,83,71,823
alt.atheism,192,149,1399
alt.atheism,350,224,2578
alt.atheism,364,233,2503
alt.atheism,653,393,4591
alt.atheism,210,151,1855
alt.atheism,479,294,3422
alt.atheism,474,272,3521
alt.atheism,261,191,1979
alt.atheism,269,181,2259
alt.atheism,760,424,5187
alt.atheism,191,150,1755
alt.atheism,962,510,6512
alt.atheism,544,294,3518
alt.atheism,279,195,2132
alt.atheism,230,192,1900
alt.atheism,369,240,2613
alt.atheism,211,164,1771
alt.atheism,180,143,1685
alt.atheism,2410,1045,14957
alt.atheism,731,420,4976
alt.atheism,148,116,1264
alt.atheism,99,87,903
alt.atheism,190,139,1625
alt.atheism,275,194,2183
alt.atheism,133,114,1172
alt.atheism,241,179,1681
alt.atheism,224,152,1867
alt.atheism,384,246,2977
alt.atheism,37,37,481
alt.atheism,210,170,1657
alt.atheism,507,299,3431
alt.atheism,133,109,1274
alt.atheism,184,155,1574
alt.atheism,1522,691,9274
alt.atheism,733,466,4939
alt.atheism,1232,623,7590
alt.atheism,177,146,1544
alt.atheism,131,118,1133
alt.atheism,910,476,5972
alt.atheism,191,163,1724
alt.atheism,139,126,1351
alt.atheism,1500,725,8945
alt.atheism,395,273,3202
alt.atheism,306,190,2542
alt.atheism,251,198,2131
alt.atheism,376,241,2596
alt.atheism,124,101,1212
alt.atheism,273,201,2295
alt.atheism,264,188,2165
alt.atheism,254,178,2123
alt.atheism,320,235,2285
alt.atheism,408,253,2719
alt.atheism,442,286,2978
alt.atheism,202,154,1734
alt.atheism,156,114,1262
alt.atheism,310,231,2502
alt.atheism,408,260,2552
alt.atheism,1236,629,7408
alt.atheism,169,148,1674
alt.atheism,123,98,1609
alt.atheism,748,419,4742
alt.atheism,214,162,1678
alt.atheism,202,145,1891
alt.atheism,1309,668,8460
alt.atheism,116,100,1183
alt.atheism,474,297,2971
alt.atheism,263,190,2033
alt.atheism,516,306,3418
alt.atheism,144,117,1360
alt.atheism,244,175,1725
alt.atheism,401,277,3021
alt.atheism,349,228,2323
alt.atheism,1187,568,7492
alt.atheism,559,355,3529
alt.atheism,125,100,1300
alt.atheism,272,192,2215
alt.atheism,121,101,1133
alt.atheism,137,106,1132
alt.atheism,664,407,4346
alt.atheism,200,127,1796
alt.atheism,393,252,2668
alt.atheism,124,107,1080
alt.atheism,353,226,2313
alt.atheism,104,95,1013
alt.atheism,111,97,1269
alt.atheism,136,107,1348
alt.atheism,450,308,3116
alt.atheism,189,154,1613
alt.atheism,161,128,1381
alt.atheism,86,83,927
alt.atheism,117,94,1150
alt.atheism,107,100,1034
alt.atheism,244,170,2006
alt.atheism,168,137,1534
alt.atheism,214,170,1867
alt.atheism,154,127,1390
alt.atheism,121,108,1268
alt.atheism,656,393,4588
alt.atheism,818,462,5754
alt.atheism,358,244,2469
alt.atheism,212,154,1702
alt.atheism,712,411,5219
alt.atheism,202,163,1583
alt.atheism,358,252,2657
alt.atheism,1639,688,9959
alt.atheism,133,106,1138
alt.atheism,92,86,937
alt.atheism,204,164,1701
alt.atheism,118,96,1141
alt.atheism,232,193,1815
alt.atheism,208,168,1675
alt.atheism,1044,527,6857
alt.atheism,285,200,2160
alt.atheism,152,114,1287
alt.atheism,257,184,1796
alt.atheism,28,28,438
alt.atheism,183,155,1511
alt.atheism,243,174,1879
alt.atheism,332,228,2158
alt.atheism,139,104,1340
alt.atheism,167,127,1481
alt.atheism,78,73,915
alt.atheism,447,288,3304
alt.atheism,117,82,1114
alt.atheism,373,249,2761
alt.atheism,221,156,1486
alt.atheism,169,139,1390
alt.atheism,180,140,1378
alt.atheism,89,83,1070
alt.atheism,85,82,910
alt.atheism,180,138,1508
alt.atheism,215,154,1696
alt.atheism,349,227,2446
alt.atheism,302,215,2190
alt.atheism,94,79,926
alt.atheism,210,155,1555
alt.atheism,581,340,3692
alt.atheism,145,114,1365
alt.atheism,259,188,2024
alt.atheism,190,149,1518
alt.atheism,472,284,3296
alt.atheism,57,56,605
alt.atheism,356,234,2638
alt.atheism,202,162,1762
alt.atheism,144,115,1373
alt.atheism,228,163,1828
alt.atheism,1788,1110,12682
alt.atheism,790,479,6412
alt.atheism,129,112,2856
alt.atheism,501,309,3287
alt.atheism,92,85,1088
alt.atheism,418,263,2842
alt.atheism,811,483,5467
alt.atheism,232,175,2052
alt.atheism,104,96,1142
alt.atheism,161,132,1261
alt.atheism,272,197,1961
alt.atheism,402,266,2876
alt.atheism,373,239,2286
alt.atheism,138,114,1101
alt.atheism,380,269,2862
alt.atheism,794,443,5318
alt.atheism,281,187,2242
alt.atheism,743,426,4906
alt.atheism,230,168,1739
alt.atheism,519,341,3420
alt.atheism,309,204,2256
alt.atheism,162,131,1403
alt.atheism,77,72,728
alt.atheism,76,73,838
alt.atheism,233,188,1819
alt.atheism,127,105,1210
alt.atheism,542,320,3782
alt.atheism,503,313,3668
alt.atheism,309,210,2250
alt.atheism,305,224,2147
alt.atheism,419,257,3018
alt.atheism,573,345,3976
alt.atheism,175,138,1628
alt.atheism,503,287,3571
alt.atheism,79,76,940
alt.atheism,237,197,1996
alt.atheism,302,211,2323
alt.atheism,447,285,3017
alt.atheism,301,222,2097
alt.atheism,181,149,1354
alt.atheism,210,174,1860
alt.atheism,95,90,876
alt.atheism,87,82,908
alt.atheism,55,55,741
alt.atheism,253,185,1843
alt.atheism,222,155,1714
alt.atheism,271,190,2050
alt.atheism,174,141,1452
alt.atheism,229,172,1805
alt.atheism,388,260,2784
alt.atheism,142,120,1325
alt.atheism,1116,552,6672
alt.atheism,247,184,1844
alt.atheism,117,104,1116
alt.atheism,107,99,992
alt.atheism,159,145,1466
alt.atheism,171,140,1674
alt.atheism,718,369,4587
alt.atheism,354,240,2620
alt.atheism,241,163,2081
alt.atheism,988,513,5727
alt.atheism,168,138,1506
alt.atheism,117,94,1138
alt.atheism,90,84,1006
alt.atheism,312,228,2215
alt.atheism,216,165,1832
alt.atheism,284,208,2240
alt.atheism,68,66,860
alt.atheism,213,161,1781
alt.atheism,92,84,969
alt.atheism,138,123,1272
alt.atheism,336,219,2250
alt.atheism,288,210,2294
alt.atheism,217,170,1801
alt.atheism,307,197,2163
alt.atheism,163,138,1318
alt.atheism,1923,1054,15524
alt.atheism,516,327,3230
alt.atheism,134,119,1158
alt.atheism,76,71,904
alt.atheism,182,140,1540
alt.atheism,234,176,2144
alt.atheism,79,68,764
alt.atheism,383,256,2828
alt.atheism,260,182,1752
alt.atheism,2067,865,12019
alt.atheism,256,182,1890
alt.atheism,273,168,1793
alt.atheism,372,228,2407
alt.atheism,178,135,1608
alt.atheism,328,231,2356
alt.atheism,595,333,4278
alt.atheism,141,118,1367
alt.atheism,166,143,1469
alt.atheism,171,150,1469
alt.atheism,76,72,828
alt.atheism,346,221,2246
alt.atheism,195,158,1803
